"LogName","TimeCreated","ProviderName","Id","Level","RecordId","Message"
"System","3-7-2026 10:35:00","Microsoft-Windows-Kernel-General","12","Informatie","80395","Het besturingssysteem is gestart op systeemtijd ‎2026‎-‎07‎-‎03T08:35:00.500000000Z."
"System","3-7-2026 10:35:00","Microsoft-Windows-Kernel-General","25","Informatie","80396","De systeemtijd is geïnitialiseerd voor ‎2026‎-‎07‎-‎03T08:35:00.500000000Z. 

Laadprogrammatijd: ‎2026‎-‎07‎-‎03T08:35:00.000000000Z
Interne opstartvlaggen: 0x2
HAL RTC-foutcode: 0x0
RTC-tijd is utc: false
Soft boot: false
Success: true
Phase: 0"
"System","3-7-2026 10:35:00","Microsoft-Windows-Kernel-Boot","153","Informatie","80397","Beveiliging op basis van virtualisatie (beleid: 0) is disabled."
"System","3-7-2026 10:35:00","Microsoft-Windows-Kernel-Boot","18","Informatie","80398","Er zijn 0x1 opstartopties op dit systeem."
"System","3-7-2026 10:35:00","Microsoft-Windows-Kernel-Boot","32","Informatie","80399","Bootmgr heeft 0 ms gewacht op gebruikersinvoer."
"System","3-7-2026 10:35:00","Microsoft-Windows-Kernel-Boot","20","Informatie","80400","De laatste status van een geslaagde afsluitactie is true. De laatste status van een geslaagde opstartactie is true."
"System","3-7-2026 10:35:00","Microsoft-Windows-Kernel-Boot","238","Informatie","80401","EFI-afwijking voor tijdzone: 2047. Daglicht-vlaggen: 0. Tijd van firmware: ‎2026‎-‎07‎-‎03T10:35:00.000000000Z. "
"System","3-7-2026 10:35:00","Microsoft-Windows-Kernel-Boot","25","Informatie","80402","Het opstartmenubeleid was 0x1."
"System","3-7-2026 10:35:00","Microsoft-Windows-Kernel-Boot","27","Informatie","80403","Het opstarttype was 0x0."
"System","3-7-2026 10:35:00","Microsoft-Windows-Kernel-Boot","30","Informatie","80404","Door de firmware zijn opstartmetingen gemeld."
"System","3-7-2026 10:35:00","Microsoft-Windows-Kernel-General","20","Informatie","80405","De configuratie van de schrikkelseconde is bijgewerkt.
Reden: Leap second data initialized from registry during boot
Schrikkelseconden ingeschakeld: true
Nieuw aantal schrikkelseconden: 0
Oud aantal schrikkelseconden: 0"
"System","3-7-2026 10:35:01","Microsoft-Windows-Ntfs","98","Informatie","80409","Volume C: (\Device\HarddiskVolume6) is in orde. U hoeft geen actie te ondernemen."
"System","3-7-2026 10:35:02","Microsoft-Windows-Kernel-Power","125","Informatie","80414","Thermische ACPI-zone \_TZ.TZ00 is geïnventariseerd.             
_PSV = 0K             
_TC1 = 0             
_TC2 = 0             
_TSP = 0ms             
_AC0 = 344K             
_AC1 = 328K             
_AC2 = 323K             
_AC3 = 318K             
_AC4 = 313K             
_AC5 = 0K             
_AC6 = 0K             
_AC7 = 0K             
_AC8 = 0K             
_AC9 = 0K             
_CRT = 392K             
_HOT = 0K             
minimale vertraging = 0             
_CR3 = 0K"
"System","3-7-2026 10:35:02","Microsoft-Windows-Kernel-Power","172","Informatie","80415","Status van connectiviteit in stand-by: Disconnected, Reden: NIC compliance"
"System","3-7-2026 10:35:03","Microsoft-Windows-Kernel-Processor-Power","55","Informatie","80416","Processor 0 in de groep 0 biedt de volgende energiebeheermogelijkheden:

Type niet-actieve status: ACPI Idle (C) States (3 status(sen))

Type prestatiestatus: ACPI Collaborative Processor Performance Control
Nominale frequentie (MHz): 2904
Maximumpercentage voor prestaties: 148
Minimumpercentage voor prestaties: 27
Minimumversnellingspercentage: 3"
"System","3-7-2026 10:35:03","Microsoft-Windows-Kernel-Processor-Power","55","Informatie","80417","Processor 2 in de groep 0 biedt de volgende energiebeheermogelijkheden:

Type niet-actieve status: ACPI Idle (C) States (3 status(sen))

Type prestatiestatus: ACPI Collaborative Processor Performance Control
Nominale frequentie (MHz): 2904
Maximumpercentage voor prestaties: 148
Minimumpercentage voor prestaties: 41
Minimumversnellingspercentage: 3"
"System","3-7-2026 10:35:03","Microsoft-Windows-Kernel-Processor-Power","55","Informatie","80418","Processor 4 in de groep 0 biedt de volgende energiebeheermogelijkheden:

Type niet-actieve status: ACPI Idle (C) States (3 status(sen))

Type prestatiestatus: ACPI Collaborative Processor Performance Control
Nominale frequentie (MHz): 2904
Maximumpercentage voor prestaties: 148
Minimumpercentage voor prestaties: 41
Minimumversnellingspercentage: 3"
"System","3-7-2026 10:35:03","Microsoft-Windows-Kernel-Processor-Power","55","Informatie","80419","Processor 6 in de groep 0 biedt de volgende energiebeheermogelijkheden:

Type niet-actieve status: ACPI Idle (C) States (3 status(sen))

Type prestatiestatus: ACPI Collaborative Processor Performance Control
Nominale frequentie (MHz): 2904
Maximumpercentage voor prestaties: 148
Minimumpercentage voor prestaties: 41
Minimumversnellingspercentage: 3"
"System","3-7-2026 10:35:03","Microsoft-Windows-Kernel-Processor-Power","55","Informatie","80420","Processor 8 in de groep 0 biedt de volgende energiebeheermogelijkheden:

Type niet-actieve status: ACPI Idle (C) States (3 status(sen))

Type prestatiestatus: ACPI Collaborative Processor Performance Control
Nominale frequentie (MHz): 2904
Maximumpercentage voor prestaties: 148
Minimumpercentage voor prestaties: 41
Minimumversnellingspercentage: 3"
"System","3-7-2026 10:35:03","Microsoft-Windows-Kernel-Processor-Power","55","Informatie","80421","Processor 10 in de groep 0 biedt de volgende energiebeheermogelijkheden:

Type niet-actieve status: ACPI Idle (C) States (3 status(sen))

Type prestatiestatus: ACPI Collaborative Processor Performance Control
Nominale frequentie (MHz): 2904
Maximumpercentage voor prestaties: 148
Minimumpercentage voor prestaties: 41
Minimumversnellingspercentage: 3"
"System","3-7-2026 10:35:03","Microsoft-Windows-Kernel-Processor-Power","55","Informatie","80422","Processor 1 in de groep 0 biedt de volgende energiebeheermogelijkheden:

Type niet-actieve status: ACPI Idle (C) States (3 status(sen))

Type prestatiestatus: ACPI Collaborative Processor Performance Control
Nominale frequentie (MHz): 2904
Maximumpercentage voor prestaties: 148
Minimumpercentage voor prestaties: 41
Minimumversnellingspercentage: 3"
"System","3-7-2026 10:35:03","Microsoft-Windows-Kernel-Processor-Power","55","Informatie","80423","Processor 3 in de groep 0 biedt de volgende energiebeheermogelijkheden:

Type niet-actieve status: ACPI Idle (C) States (3 status(sen))

Type prestatiestatus: ACPI Collaborative Processor Performance Control
Nominale frequentie (MHz): 2904
Maximumpercentage voor prestaties: 148
Minimumpercentage voor prestaties: 41
Minimumversnellingspercentage: 3"
